id_day,day,id_teacher,id_space,name,id_building,id_headquarters,building_name,id_university_subject,full_name,semesters,university_subject_code,entry_time,departure_time,group,hours,id_authorization_program,id_program,program_code,program_full_name,id_university_period,id_day_time_slot,id_time_slot
2,Tuesday,T108,16,salon 9,3,1,Sede Principe,557,Inglés con Fines Generales y Académicos IV,4,204028C,14:00:00,18:00:00,51,4,2,1,3743,Ingeniería de Sistemas,10,13,5
4,Thursday,T025,15,Sala de Sistemas 4,3,1,Sede Principe,291,Cálculo Monovariable,2,111021C,14:00:00,17:00:00,54,3,7,3,3753,Ingeniería de Alimentos,7,29,5
2,Tuesday,T149,15,Sala de Sistemas 4,3,1,Sede Principe,782,Dirección y Organización Contable,9,802092M,18:20:00,21:20:00,50,3,4,6,3841,Contaduría Publica,6,15,7
5,Friday,T102,16,salon 9,3,1,Sede Principe,455,Desarrollo de Software II,5,750092M,14:00:00,18:00:00,50,4,21,8,2724,Tecnología en Desarrollo de Software,3,37,5
2,Tuesday,T076,17,salon 10,3,1,Sede Principe,698,Álgebra lineal ,2,801017C,14:00:00,17:00:00,50,3,19,2,3845,Administracion de empresas,4,13,5
5,Friday,T199,15,Sala de Sistemas 4,3,1,Sede Principe,395,Inglés con fines generales y académicos I,3,204025C,08:00:00,12:00:00,57,4,18,6,3841,Contaduría Publica,9,33,1
1,Monday,T153,15,Sala de Sistemas 4,3,1,Sede Principe,906,Costos,5,802026C,14:00:00,17:00:00,50,3,18,6,3841,Contaduría Publica,5,5,5
4,Thursday,T066,4,Salon 4,2,1,Sede Villa Campestre,805,Análisis integrado del entorno,5,801113C,10:00:00,13:00:00,50,3,19,2,3845,Administracion de empresas,5,26,2
3,Wednesday,T197,1,Salon 1,2,1,Sede Villa Campestre,728,Proceso administrativo,3,801043C,18:20:00,21:20:00,50,3,26,6,3841,Contaduría Publica,10,23,7
1,Monday,T225,1,Salon 1,2,1,Sede Villa Campestre,1295,DISEÑO TECNOLOGICO,9,502044C,14:00:00,17:00:00,50,3,5,4,3554,Construccion,10,5,5
2,Tuesday,T121,21,salon 14,3,1,Sede Principe,1127,Inglés con fines generales y académicos III,5,204027C,09:00:00,13:00:00,51,4,20,11,3643,Nutricion y dietetica,8,11,3
4,Thursday,T061,3,Salon 3,2,1,Sede Villa Campestre,662,Diseño de experimentos para Ingeniería,7,761087M,07:00:00,10:00:00,50,3,16,3,3753,Ingeniería de Alimentos,4,25,1
